WarNum,WarName,V5Region,WarType,CcodeA,SideA,CcodeB,SideB,Intnl,StartMo1,StartDy1,StartYr1,EndMo1,EndDy1,EndYr1,StartMo2,StartDy2,StartYr2,EndMo2,EndDy2,EndYr2,StartMo3,StartDy3,StartYr3,EndMo3,EndDy3,EndYr3,StartMo4,StartDy4,StartYr4,EndMo4,EndDy4,EndYr4,WDuratDays,WDuratMo,TransFrom,Initiator,Outcome,TransTo,Deaths A,Deaths B,TotalBDeaths,SideAPeakTotForces,SideAPeak TheatForces,SideBPeakTotForces,SideBPeakTheatForces,Version
504.3,Sidon-Damascus War of 1821-1822,5,6,-8,Damascus and Aleppo,-8,Sidon,0,5,21,1821,7,30,1822,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,430,14.33,-8,Sidon,3,-8,1200,40,1240,-8,-9,-8,16000,5.1
505,Spanish Royalists War of 1821-1823,3,4,230,Spain,-8,Royalists,0,12,4,1821,4,6,1823,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,483,16.1,-8,Royalists,4,1,-9,-9,1500,165000,-9,-8,35000,5.1
507,Egypt-Mehdi War of 1824,5,6,-8,Egypt,-8,Mehdi Army,0,3,23,1824,4,14,1824,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,22,0.73,-8,Mehdi army,1,-8,-9,-9,4000,-9,8000,-8,15000,5.1
507.5,Greater Chechnya Revolt of 1825-1826,3,5,365,Russia,-8,Chechnya,0,6,25,1825,-9,-9,1826,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,372,12.4,-8,Chechnya,1,-8,-9,-9,1100,574000,-9,-8,5000,5.1
508,Janissari Revolt of 1826,5,4,640,Ottoman Empire,-8, Janissaries,0,6,14,1826,6,17,1826,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,4,0.13,-8,Janissaries,1,-8,40,6320,6360,182000,20000,-8,8000,5.1
511,First Murid War of 1830-1832,3,5,365,Russia,-8,Murids,0,2,24,1830,10,17,1832,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,954,31.8,-8,Murids,1,-8,3000,2000,5000,875000,60000,-8,13000,5.1
512,First Albanian Revolt of 1830-1832,3,5,640,Ottoman Empire,-8,Albanians and Bosnians,0,6,-9,1830,7,5,1832,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,741,24.7,-8,Albanians,1,-8,5000,10000,15000,129000,16000,-8,65000,5.1
513,First French Insurrection of 1830,3,4,220,France,-8,Liberals,0,7,27,1830,7,29,1830,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,0.1,-8,Liberals,2,-8,200,1800,2000,259000,11400,-8,20000,5.1
515,Belgian Independence War of 1830,3,5,210,Netherlands,-8,Belgium,0,8,25,1830,12,19,1830,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,115,3.83,-8,Belgians,2,-8,500,600,1100,30000,58500,-8,10000,5.1
516,Egyptian Taka Expedition of 1831,5,6,-8,Egypt,-8,Hadendowa Tribe,0,-9,-9,1831,-9,-9,1831,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,181,6.03,-8,Egypt,2,-8,1500,500,2000,100000,6000,-8,-9,5.1
517,First Polish War of 1831,3,5,365,Russia,-8,Poland,0,2,7,1831,10,18,1831,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,252,8.4,-8,Russia,1,-8,15000,20000,35000,851000,250000,-8,190000,5.1
518,First Syrian War of 1831-1832,5,5,640,Ottoman Empire,-8,Egypt,0,10,1,1831,12,27,1832,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,447,14.9,-8,Egypt,3,-8,10000,6000,16000,129000,53000,125000,35000,5.1
520,First Mexican War of 1832,1,4,70,Mexico,-8,Liberals,0,1,2,1832,12,23,1832,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,352,11.73,-8,Liberals,2,-8,1400,1000,2400,25000,-9,-8,7000,5.1
520.3,Cabanada War of 1832-1835,2,4,140,Brazil,-8,Pernambuco Cabanos,0,4,-9,1832,5,29,1835,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1125,37.5,-8,Cabanos,1,-8,-9,-9,3500,17000,-9,-8,2000,5.1
520.5,Miguelite War of 1832-1834,3,4,-8,-8,200,United Kingdom,1,7,9,1832,5,26,1834,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,678,22.6,-8,-8,2,-8,-8,100,-8,-8,-8,155000,1000,5.1
520.5,Miguelite War of 1832-1834,3,4,235,Portugal,-8,Constitutionalists,1,7,9,1832,5,26,1834,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,678,22.6,-8,Constitutionalists,2,-8,12000,8000,20100,54000,80000,-8,26000,5.1
521,Palestinian Anti-Conscription Revolt of 1834,5,6,-8,Egypt,-8,Palestinians and Bedouins,0,5,19,1834,8,-9,1834,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,87,2.9,-8,Palestinians,1,-8,2000,2000,4000,-9,6000,-8,-9,5.1
522,First Carlist War of 1834-1840,3,4,200,United Kingdom,-8,-8,1,7,10,1835,9,1,1837,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,772,25.73,-8,-8,1,-8,2500,-8,-8,168000,10000,-8,-8,5.1
522,First Carlist War of 1834-1840,3,4,220,France,-8,-8,1,10,31,1835,1,17,1839,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1158,38.6,-8,-8,1,-8,3000,-8,-8,446000,6432,-8,-8,5.1
522,First Carlist War of 1834-1840,3,4,230,Spain,-8,Carlists,1,7,10,1834,6,2,1840,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2123,70.77,-8,Carlists,1,-8,65000,60000,130550,110000,100000,-8,35000,5.1
522,First Carlist War of 1834-1840,3,4,235,Portugal,-8,-8,1,10,15,1835,2,15,1836,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,121,4.03,-8,-8,1,-8,50,-8,-8,54000,10000,-8,-8,5.1
523,Second Murid War of 1834,3,5,365,Russia,-8,Murids,0,8,20,1834,10,27,1834,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,68,2.27,-8,Murids,7,-8,-9,-9,1000,784000,54000,-8,15000,5.1
525,Cabanos Revolt of 1835-1837,2,5,140,Brazil,-8,Cabanos,0,1,6,1835,7,12,1837,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,907,30.23,-8,Cabanos,1,-8,5500,6500,12000,17000,-9,-8,6000,5.1
525.5,Zacatecas Rebellion of 1835,1,4,70,Mexico,-8,Zacatecas Militia,0,5,11,1835,5,14,1835,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,4,0.13,-8,Zacatecas Militia,1,-8,-9,-9,1000,25000,4000,-8,5000,5.1
526,Farroupilha War of 1835-1845,2,5,140,Brazil,-8,Farrapos,0,9,19,1835,3,1,1845,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3403,113.43,-8,Farrapos,1,-8,-9,-9,20000,26000,-9,-8,9372,5.1
527,Texan War of 1835-1836,1,5,70,Mexico,-8,Texas,0,10,2,1835,4,20,1836,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,199,6.63,-8,Texas,2,-8,1500,700,2200,25000,8000,-8,1200,5.1
528,First Bosnian War of 1836,3,5,640,Ottoman Empire,-8,Bosnians,0,-9,-9,1836,-9,-9,1836,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,181,6.03,-8,Bosnians,1,-8,-9,-9,1000,129000,34000,-8,6000,5.1
530,Third Murid War of 1836-1852,3,5,365,Russia,-8,Murids,0,7,6,1836,4,24,1852,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,5689,189.63,-8,Russia,6,-8,20000,-9,-9,1020000,200000,-8,20000,5.1
531,Sabinada Rebellion of 1837-1838,2,5,140,Brazil,-8,Bahia Sabinada,0,11,7,1837,3,16,1838,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,130,4.33,-8,Bahia Sabinada,1,-8,600,1200,1800,23000,5000,-8,5000,5.1
532,Druze Rebellion of 1837-1838,5,6,-8,Egypt,-8,Druzes,0,9,27,1837,8,22,1838,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,326,10.87,-8,Druzes,3,-8,15000,2000,17000,157000,-9,-8,9600,5.1
532.5,Tampico Revolt of 1838-1839,1,4,70,Mexico,-8,Federalists,0,5,-9,1838,6,5,1839,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,381,12.7,-8,Federalists,1,-8,900,800,1700,25000,3200,-8,-9,5.1
532.7,Balaiada Revolt of 1838-1841,2,5,140,Brazil,-8,Balaida Rebels,0,12,13,1838,1,19,1841,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,757,25.23,-8,Balaida Rebels,1,-8,-9,5000,-9,22000,8000,-8,11000,5.1
533,Second Syrian War of 1839,5,5,640,Ottoman Empire,-8,Egypt,0,6,10,1839,6,28,1839,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,19,0.63,-8,Ottoman Empire,2,-8,1500,500,2000,278000,33000,182000,43000,5.1
535,Lebanon Insurgency of 1840,5,6,-8,Egypt,-8,Lebanese Maronites and Druze,0,5,27,1840,7,31,1840,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,65,2.17,-8,Lebanese Maronites,1,-8,-9,-9,1000,247000,44000,-8,10000,5.1
536,First Colombian War of 1840-1842,2,4,100,Colombia,-8,Progressives,0,7,15,1840,5,-9,1842,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,661,22.03,-8,Progressives,1,-8,-9,-9,7100,25000,-9,-8,800,5.1
537,Third Syrian War of 1840-1841,5,5,200,United Kingdom,-8,-8,1,9,9,1840,1,17,1841,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,129,4.3,-8,-8,1,-8,14,-8,-8,168000,1500,-8,-8,5.1
537,Third Syrian War of 1840-1841,5,5,640,Ottoman Empire,-8,Egypt,1,9,9,1840,1,17,1841,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,129,4.3,-8,Ottoman Empire,1,-8,-9,-9,15014,137000,27300,207000,85000,5.1
538,First Argentina War phase 2 of 1841-1842,2,4,160,Argentina,-8,Unitarios,0,1,1,1841,12,6,1842,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,696,23.2,1527,Unitarios,1,-8,1800,4000,5800,7000,10000,-8,7500,5.1
539,Nish Uprising of 1841,3,5,640,Ottoman Empire,-8,Nish,0,4,6,1841,4,27,1841,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,22,0.73,-8,Nish,1,-8,-9,-9,1000,145000,16000,-8,15000,5.1
540,Second Bosnian War of 1841,3,5,640,Ottoman Empire,-8,Bosnians,0,-9,-9,1841,-9,-9,1841,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,181,6.03,-8,Bosnians,1,-8,-9,-9,1000,145000,-9,-8,16000,5.1
541,Triangular Revolt of 1841,1,4,70,Mexico,-8,Military Rebels,0,8,31,1841,10,6,1841,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,37,1.23,-8,Military Rebels,2,-8,700,500,1200,20000,4500,-8,9000,5.1
541.2,First Maronite-Druze War of 1841,5,7,-8,Maronites,-8,Druzes,0,10,13,1841,11,19,1841,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,37,1.23,-8,Druzes,2,-8,390,973,1363,-8,6000,-8,6000,5.1
542,Karbala Revolt of 1842-1843,5,5,640,Ottoman Empire,-8,Karbala Gangs,0,12,19,1842,1,13,1843,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,25,0.83,-8,Ottoman Empire,1,-8,400,3600,4000,162000,3000,-8,10500,5.1
543,Second Maronite-Druze War of 1845,5,7,-8,Maronites,-8,Druzes,0,4,30,1845,5,31,1845,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,31,1.03,-8,Maronites,2,-8,700,350,1050,-8,11000,-8,-9,5.1
544,Patuleia War of 1846-1847,3,4,230,Spain,-8,-8,1,5,-9,1847,6,29,1847,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,45,1.5,-8,-8,1,-8,-9,-8,-8,121000,12000,-8,-8,5.1
544,Patuleia War of 1846-1847,3,4,235,Portugal,-8,Septembrists,1,10,6,1846,6,29,1847,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,264,8.8,-8,Septembrists,1,-8,-9,-9,1000,21000,6500,-8,11000,5.1
545,Mayan Caste War phase 1 of 1847-1848,1,6,-8,Yucatan,-8,Mayans,0,1,15,1847,8,16,1848,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,572,19.07,-8,Mayans,4,553,2800,1500,4300,-8,17250,-8,50000,5.1
546,Second Carlist War of 1847-1849,3,4,230,Spain,-8,Carlists,0,5,17,1847,4,30,1849,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,704,23.47,-8,Carlists,1,-8,3000,7000,10000,121000,50000,-8,10000,5.1
547,Second Two Sicilies War of 1848-1849,3,4,329,Two Sicilies,-8,Liberals,0,1,12,1848,1,29,1848,8,15,1848,5,15,1849,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,289,9.63,-8,Liberals,1,-8,1500,-9,-9,49000,25000,-8,25000,5.1
548, First Venezuela War of 1848-1849,2,4,101,Venezuela,-8,Paez-led Rebels,0,2,4,1848,8,15,1849,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,552,18.4,-8,Paez-led Rebels,1,-8,1500,500,2000,-9,10000,-8,3000,5.1
549,Second French Insurrection of 1848,3,4,220,France,-8,Republicans,0,2,22,1848,2,24,1848,4,26,1848,6,26,1848,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,63,2.1,-8,Republicans,1,-8,1100,3000,4100,387000,119900,-8,50000,5.1
550,Viennese Revolt of 1848,3,4,300,Austria,-8,Vienna Liberals,0,3,13,1848,3,15,1848,10,6,1848,10,31,1848,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,28,0.93,-8,Vienna Liberals,1,-8,241,3000,3241,409000,10000,-8,4000,5.1
551,Milan Five Day Revolt of 1848,3,5,300,Austria,-8,Milan Liberals,0,3,18,1848,3,23,1848,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,5,0.17,-8,Milan Liberals,4,10,600,430,1030,409000,12000,-8,15000,5.1
553,Mayan Caste War phase 2 of 1848-1855,1,5,70,Mexico,-8,Mayans,0,8,17,1848,3,4,1855,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2358,78.6,545,Mexico,1,-8,-9,-9,105000,43000,31472,-8,80000,5.1
554,Hungarian War of 1848-1849,3,5,300,Austria,-8,Hungary,1,9,11,1848,8,11,1849,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,331,11.03,-8,Croatia,1,-8,45100,45000,104600,409000,170000,-8,152000,5.1
554,Hungarian War of 1848-1849,3,5,365,Russia,-8,-8,1,6,17,1849,8,11,1849,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,55,1.83,-8,-8,1,-8,14500,-8,-8,699000,360000,-8,-8,5.1
554.3,Third Bosnian War of 1850-1851,3,5,640,Ottoman Empire,-8,Bosnian and Montenegrin Beys,0,8,-9,1850,4,-9,1851,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,241,8.03,-8,Ottoman Empire,1,-8,-9,-9,4000,150000,10000,-8,25000,5.1
554.5,Aleppo Revolt of 1850,5,5,640,Ottoman Empire,-8,Aleppo,0,10,17,1850,11,10,1850,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,24,0.8,-8,Aleppo,1,-8,-9,-9,1000,145000,2500,-8,5000,5.1
555,First Chilean War of 1851-1852,2,4,155,Chile,-8,Liberals,0,9,5,1851,1,8,1852,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,124,4.13,-8,Liberals,1,-8,1500,2500,4000,3000,6000,-8,7800,5.1
555.8,Druze Rebellion of 1852,5,5,640,Ottoman Empire,-8,Druze Alliance,0,9,14,1852,11,1,1852,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,48,1.6,-8,Ottoman Empire,2,-8,-9,-9,1000,150000,12000,-8,-9,5.1
556,First Turco-Montenegrin War of 1852-1853,3,5,640,Ottoman Empire,-8,Montenegro and Hercegovina,0,9,-9,1852,3,9,1853,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,175,5.83,-8,Montenegro,3,-8,4500,2000,6500,160000,30000,-8,20000,5.1
557,Peruvian Liberal Revolution of 1853-1855,2,4,135,Peru,-8,Liberals,0,10,21,1853,1,7,1855,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,437,14.57,-8,Liberals,2,-8,-9,-9,4000,11000,5000,-8,5500,5.1
557.1,Epirus Revolt of 1854,3,5,640,Ottoman Empire,-8,Greek Nationalists,0,1,30,1854,5,2,1854,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,93,3.1,-8,Greek Nationalists,1,-8,-9,-9,1000,160000,15500,-8,-9,5.1
557.2,Greek Nationalists of Macedonia War of 1854,3,5,640,Ottoman Empire,-8,Greek Nationalists in Macedonia,0,2,-9,1854,6,-9,1854,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,121,4.03,-8,Greek Nationalists in Macedonia,1,-8,-9,-9,1000,160000,-9,-8,18000,5.1
557.3,Colombia's Barracks Rebellion of 1854 ,2,4,100,Colombia,-8,Constitutionalists,0,4,19,1854,12,4,1854,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,226,7.53,-8,Constitutionalists,2,-8,1400,600,2000,2000,11000,-8,8337,5.1
557.8,Barquisimeto Rebellion of 1854,2,4,101,Venezuela,-8,Rodriguez-led Rebels,0,7,12,1854,8,15,1854,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,34,1.13,-8,Rodriguez-led Rebels,1,-8,100,1000,1100,-9,7000,-8,3700,5.1
557.9,Libyan Insurrection of 1855-1856,5,5,640,Ottoman Empire,-8,Libyan Rebels,0,6,-9,1855,1,-9,1856,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,211,7.03,-8,Libyan Rebels,1,-8,1400,500,1900,160000,12000,-8,14000,5.1
558,Puebla War of 1855-1856,1,4,70,Mexico,-8,Conservative Military,0,12,11,1855,3,21,1856,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,101,3.37,-8,Conservative Military,1,-8,200,1000,1200,26000,16000,-8,7000,5.1
560,Second Peru War of 1856-1858,2,4,135,Peru,-8,Conservatives,0,10,31,1856,3,7,1858,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,488,16.27,-8,Conservatives,1,-8,1000,2000,3000,12000,-9,-8,1800,5.1
561,Mexican Reform of 1858-1861,1,4,70,Mexico,-8,Liberals,0,2,14,1858,1,1,1861,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1038,34.6,-8,Liberals,2,-8,-9,-9,8000,26000,-9,-8,25000,5.1
562,Second Turco-Montenegrin War of 1858,3,5,640,Ottoman Empire,-8,Montenegro,0,5,4,1858,5,14,1858,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,11,0.37,-8,Ottoman Empire,2,-8,3000,400,3400,160000,8000,-8,7500,5.1
562.5,Constituent Revolution  of 1859,2,4,155,Chile,-8,Constituents,0,1,5,1859,5,12,1859,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,128,4.27,-8,Constituents,1,-8,-9,-9,2000,4000,7000,-8,4700,5.1
563,Venezuelan Federal War of 1859-1863,2,4,101,Venezuela,-8,Liberals,0,2,20,1859,5,23,1863,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1534,51.13,-8,Liberals,2,-8,30000,10000,40000,10000,5000,-8,5400,5.1
565,Third Colombian War of 1860-1862,2,4,100,Colombia,-8,Liberals,0,2,22,1860,10,13,1862,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,952,31.73,-8,Liberals,2,-8,-9,-9,4000,1000,5000,-8,20000,5.1
566,Third Maronite-Druze War of 1860,5,7,-8,Maronites,-8,Druzes,0,5,26,1860,7,12,1860,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,47,1.57,-8,Maronites,2,-8,2000,1000,3000,-8,50000,-8,12000,5.1
567,Taiping Rebellion phase 2 of 1860-1866,6,4,200,United Kingdom,-8,-8,1,2,21,1862,12,4,1863,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,644,21.47,1534,-8,1,-8,25,-8,-8,347000,2500,-8,-8,5.1
567,Taiping Rebellion phase 2 of 1860-1866,6,4,710,China,-8,Taipings,1,10,25,1860,2,9,1866,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1905,63.5,1534,Taipings,1,-8,-9,-9,250025,1000000,1235000,-8,1000000,5.1
