"","iso3","country","cow_code","NAMES_STD","exist_unemp","unemp_firstlaw","year"
"72","ISR","Israel",666,"Israel","unemployment benefit programme",1972,1880
"73","ITA","Italy",325,"Italy","unemployment benefit programme",1919,1880
"74","JAM","Jamaica",51,"Jamaica","no umemployment insurance anchored in legislation",NA,1880
"75","JOR","Jordan",663,"Jordan","unemployment benefit programme",2010,1880
"76","JPN","Japan",740,"Japan","unemployment benefit programme",1947,1880
"77","KAZ","Kazakhstan",705,"Kazakhstan","unemployment benefit programme",2003,1880
"78","KEN","Kenya",501,"Kenya","no umemployment insurance anchored in legislation",NA,1880
"79","KGZ","Kyrgyzstan",703,"Kyrgyz Republic","unemployment benefit programme",1998,1880
"80","KHM","Cambodia",811,"Cambodia","severance payment but no unemployment benefit programme",NA,1880
"81","KOR","South Korea",732,"South Korea","unemployment benefit programme",1993,1880
"82","KWT","Kuwait",690,"Kuwait","unemployment benefit programme",2013,1880
"83","LAO","Laos",812,"Laos","unemployment benefit programme",2013,1880
"84","LBN","Lebanon",660,"Lebanon","no umemployment insurance anchored in legislation",NA,1880
"85","LBR","Liberia",450,"Liberia","no umemployment insurance anchored in legislation",NA,1880
"86","LBY","Libya",620,"Libya","severance payment but no unemployment benefit programme",NA,1880
"87","LKA","Sri Lanka",780,"Sri Lanka","severance payment but no unemployment benefit programme",NA,1880
"88","LSO","Lesotho",570,"Lesotho","severance payment but no unemployment benefit programme",NA,1880
"89","LTU","Lithuania",368,"Lithuania","unemployment benefit programme",1990,1880
"90","LUX","Luxembourg",212,"Luxembourg","unemployment benefit programme",1920,1880
"91","LVA","Latvia",367,"Latvia","unemployment benefit programme",1991,1880
"92","MAR","Morocco",600,"Morocco","unemployment benefit programme",2014,1880
"93","MDA","Moldova",359,"Moldova","unemployment benefit programme",1992,1880
"94","MDG","Madagascar",580,"Madagascar","no umemployment insurance anchored in legislation",NA,1880
"95","MEX","Mexico",70,"Mexico","severance payment but no unemployment benefit programme",NA,1880
"96","MKD",NA,NA,NA,NA,NA,1880
"97","MLI","Mali",432,"Mali","severance payment but no unemployment benefit programme",NA,1880
"98","MMR","Myanmar",775,"Myanmar","unemployment benefit programme",2012,1880
"99","MNE",NA,NA,NA,NA,NA,1880
"100","MNG","Mongolia",712,"Mongolia","unemployment benefit programme",1994,1880
"101","MOZ","Mozambique",541,"Mozambique","no umemployment insurance anchored in legislation",NA,1880
"102","MRT","Mauritania",435,"Mauritania","no umemployment insurance anchored in legislation",NA,1880
"103","MUS","Mauritius",590,"Mauritius","unemployment benefit programme",1983,1880
"104","MWI","Malawi",553,"Malawi","severance payment but no unemployment benefit programme",NA,1880
"105","MYS","Malaysia",820,"Malaysia","severance payment but no unemployment benefit programme",NA,1880
"106","NAM","Namibia",565,"Namibia","severance payment but no unemployment benefit programme",NA,1880
"107","NER","Niger",436,"Niger","no umemployment insurance anchored in legislation",NA,1880
"108","NGA","Nigeria",475,"Nigeria","unemployment benefit programme",1961,1880
"109","NIC","Nicaragua",93,"Nicaragua","no umemployment insurance anchored in legislation",NA,1880
"110","NLD","Netherlands",210,"Netherlands","unemployment benefit programme",1916,1880
"111","NOR","Norway",385,"Norway","unemployment benefit programme",1906,1880
"112","NPL","Nepal",790,"Nepal","severance payment but no unemployment benefit programme",NA,1880
"113","NZL","New Zealand",920,"New Zealand","unemployment benefit programme",1938,1880
"114","OMN","Oman",698,"Oman","no umemployment insurance anchored in legislation",NA,1880
"115","PAK","Pakistan",770,"Pakistan","severance payment but no unemployment benefit programme",NA,1880
"116","PAN","Panama",95,"Panama","severance payment but no unemployment benefit programme",NA,1880
"117","PER","Peru",135,"Peru","severance payment but no unemployment benefit programme",NA,1880
"118","PHL","Philippines",840,"Philippines","severance payment but no unemployment benefit programme",NA,1880
"119","PNG","Papua New Guinea",910,"Papua New Guinea","no umemployment insurance anchored in legislation",NA,1880
"120","POL","Poland",290,"Poland","unemployment benefit programme",1924,1880
"121","PRK",NA,NA,NA,NA,NA,1880
"122","PRT","Portugal",235,"Portugal","unemployment benefit programme",1975,1880
"123","PRY","Paraguay",150,"Paraguay","no umemployment insurance anchored in legislation",NA,1880
"124","QAT","Qatar",694,"Qatar",NA,NA,1880
"125","ROU","Romania",360,"Romania","unemployment benefit programme",1991,1880
"126","RUS","Russia",365,"Russia","unemployment benefit programme",1917,1880
"127","RWA","Rwanda",517,"Rwanda","severance payment but no unemployment benefit programme",NA,1880
"128","SAU","Saudi Arabia",670,"Saudi Arabia","unemployment benefit programme",2014,1880
"129","SDN","Sudan",625,"Sudan","severance payment but no unemployment benefit programme",NA,1880
"130","SEN","Senegal",433,"Senegal","no umemployment insurance anchored in legislation",NA,1880
"131","SGP","Singapore",830,"Singapore","no umemployment insurance anchored in legislation",NA,1880
"132","SLB","Solomon Islands",940,"Solomon Islands","no umemployment insurance anchored in legislation",NA,1880
"133","SLE","Sierra Leone",451,"Sierra Leone","no umemployment insurance anchored in legislation",NA,1880
"134","SLV","El Salvador",92,"El Salvador","severance payment but no unemployment benefit programme",NA,1880
"135","SOM","Somalia",520,"Somalia","no umemployment insurance anchored in legislation",NA,1880
"136","SRB","Serbia",345,"Yugoslavia","unemployment benefit programme",1935,1880
"137","SSD",NA,NA,NA,NA,NA,1880
"138","SUR","Suriname",115,"Suriname","no umemployment insurance anchored in legislation",NA,1880
"139","SVK","Slovakia",317,"Slovak Republic","unemployment benefit programme",1921,1880
"140","SVN","Slovenia",349,"Slovenia","unemployment benefit programme",1935,1880
"141","SWE","Sweden",380,"Sweden","unemployment benefit programme",1934,1880
"142","SWZ","Swaziland",572,"Swaziland","no umemployment insurance anchored in legislation",NA,1880
"143","SYR","Syria",652,"Syria","severance payment but no unemployment benefit programme",NA,1880
"144","TCD","Chad",483,"Chad","severance payment but no unemployment benefit programme",NA,1880
"145","TGO","Togo",461,"Togo","no umemployment insurance anchored in legislation",NA,1880
"146","THA","Thailand",800,"Thailand","unemployment benefit programme",1990,1880
"147","TJK","Tajikistan",702,"Tajikistan","unemployment benefit programme",2003,1880
"148","TKM","Turkmenistan",701,"Turkmenistan","unemployment benefit programme",1991,1880
"149","TLS",NA,NA,NA,NA,NA,1880
"150","TTO","Trinidad and Tobago",52,"Trinidad and Tobago","severance payment but no unemployment benefit programme",NA,1880
"151","TUN","Tunisia",616,"Tunisia","unemployment benefit programme",1982,1880
"152","TUR","Turkey",640,"Turkey","unemployment benefit programme",1999,1880
"153","TZA","Tanzania",510,"Tanzania","severance payment but no unemployment benefit programme",NA,1880
"154","UGA","Uganda",500,"Uganda","severance payment but no unemployment benefit programme",NA,1880
"155","UKR","Ukraine",369,"Ukraine","unemployment benefit programme",2000,1880
"156","URY","Uruguay",165,"Uruguay","unemployment benefit programme",1981,1880
"157","USA","United States of America",2,"United States","unemployment benefit programme",1935,1880
"158","UZB","Uzbekistan",704,"Uzbekistan","unemployment benefit programme",1992,1880
"159","VEN","Venezuela",101,"Venezuela","unemployment benefit programme",1985,1880
"160","VNM","Vietnam",816,"Vietnam","unemployment benefit programme",2006,1880
"161","YEM","Yemen",679,"Yemen","severance payment but no unemployment benefit programme",NA,1880
"162","ZAF","South Africa",560,"South Africa","unemployment benefit programme",1937,1880
"163","ZMB","Zambia",551,"Zambia","severance payment but no unemployment benefit programme",NA,1880
"164","ZWE","Zimbabwe",552,"Zimbabwe","no umemployment insurance anchored in legislation",NA,1880
"165","AFG","Afghanistan",700,"Afghanistan","no umemployment insurance anchored in legislation",NA,1881
"166","AGO","Angola",540,"Angola","severance payment but no unemployment benefit programme",NA,1881
"167","ALB","Albania",339,"Albania","no umemployment insurance anchored in legislation",NA,1881
"168","ARE",NA,NA,NA,NA,NA,1881
"169","ARG","Argentina",160,"Argentina","unemployment benefit programme",1991,1881
"170","ARM","Armenia",371,"Armenia","severance payment but no unemployment benefit programme",NA,1881
"171","AUS","Australia",900,"Australia","unemployment benefit programme",1944,1881
"172","AUT","Austria",305,"Austria","unemployment benefit programme",1920,1881
"173","AZE","Azerbaijan",373,"Azerbaijan","unemployment benefit programme",2001,1881
"174","BDI","Burundi",516,"Burundi","no umemployment insurance anchored in legislation",NA,1881
"175","BEL","Belgium",211,"Belgium","unemployment benefit programme",1920,1881
"176","BEN","Benin",434,"Benin","no umemployment insurance anchored in legislation",NA,1881
"177","BFA","Burkina Faso",439,"Burkina Faso","no umemployment insurance anchored in legislation",NA,1881
"178","BGD","Bangladesh",771,"Bangladesh","severance payment but no unemployment benefit programme",NA,1881
"179","BGR","Bulgaria",355,"Bulgaria","unemployment benefit programme",1925,1881
"180","BHR","Bahrain",692,"Bahrain","unemployment benefit programme",2006,1881
"181","BIH",NA,NA,NA,NA,NA,1881
"182","BLR","Belarus",370,"Belarus","unemployment benefit programme",2006,1881
"183","BOL","Bolivia",145,"Bolivia","severance payment but no unemployment benefit programme",NA,1881
"184","BRA","Brazil",140,"Brazil","unemployment benefit programme",1986,1881
"185","BTN","Bhutan",760,"Bhutan","no umemployment insurance anchored in legislation",NA,1881
"186","BWA","Botswana",571,"Botswana","severance payment but no unemployment benefit programme",NA,1881
"187","CAF","Central African Republic",482,"Central African Republic","no umemployment insurance anchored in legislation",NA,1881
"188","CAN","Canada",20,"Canada","unemployment benefit programme",1940,1881
"189","CHE","Switzerland",225,"Switzerland","unemployment benefit programme",1924,1881
"190","CHL","Chile",155,"Chile","unemployment benefit programme",2001,1881
"191","CHN","China",710,"China","unemployment benefit programme",1986,1881
"192","CIV","Ivory Coast",437,"Cote d'Ivoire","severance payment but no unemployment benefit programme",NA,1881
"193","CMR","Cameroon",471,"Cameroon","severance payment but no unemployment benefit programme",NA,1881
"194","COD","Democratic Republic of the Congo",490,"Democratic Republic of the Congo","no umemployment insurance anchored in legislation",NA,1881
"195","COG","Congo",484,"Congo","no umemployment insurance anchored in legislation",NA,1881
"196","COL","Colombia",100,"Colombia","unemployment benefit programme",2002,1881
"197","COM",NA,NA,NA,NA,NA,1881
"198","CPV","Cape Verde",402,"Cape Verde","unemployment benefit programme",2016,1881
"199","CRI","Costa Rica",94,"Costa Rica","severance payment but no unemployment benefit programme",NA,1881
"200","CUB","Cuba",40,"Cuba","no umemployment insurance anchored in legislation",NA,1881
"201","CYP","Cyprus",352,"Cyprus","unemployment benefit programme",1956,1881
"202","CZE","Czech Republic",316,"Czech Republic","unemployment benefit programme",1918,1881
"203","DEU","Germany",255,"Germany","unemployment benefit programme",1927,1881
"204","DJI","Djibouti",522,"Djibouti","no umemployment insurance anchored in legislation",NA,1881
"205","DNK","Denmark",390,"Denmark","unemployment benefit programme",1907,1881
"206","DOM","Dominican Republic",42,"Dominican Republic","no umemployment insurance anchored in legislation",NA,1881
"207","DZA","Algeria",615,"Algeria","unemployment benefit programme",1994,1881
"208","ECU","Ecuador",130,"Ecuador","unemployment benefit programme",2001,1881
"209","EGY","Egypt",651,"Egypt","unemployment benefit programme",1964,1881
"210","ESP","Spain",230,"Spain","unemployment benefit programme",1919,1881
"211","EST","Estonia",366,"Estonia","unemployment benefit programme",1991,1881
"212","ETH","Ethiopia",530,"Ethiopia","severance payment but no unemployment benefit programme",NA,1881
"213","FIN","Finland",375,"Finland","unemployment benefit programme",1917,1881
"214","FJI","Fiji",950,"Fiji","no umemployment insurance anchored in legislation",NA,1881
"215","FRA","France",220,"France","unemployment benefit programme",1905,1881
"216","GAB","Gabon",481,"Gabon","severance payment but no unemployment benefit programme",NA,1881
"217","GBR","United Kingdom",200,"United Kingdom","unemployment benefit programme",1911,1881
"218","GEO","Georgia",372,"Georgia","severance payment but no unemployment benefit programme",NA,1881
"219","GHA","Ghana",452,"Ghana","no umemployment insurance anchored in legislation",NA,1881
"220","GIN","Guinea",438,"Guinea","no umemployment insurance anchored in legislation",NA,1881
"221","GMB","Gambia",420,"Gambia","severance payment but no unemployment benefit programme",NA,1881
"222","GNB",NA,NA,NA,NA,NA,1881
"223","GNQ","Equatorial Guinea",411,"Equatorial Guinea","severance payment but no unemployment benefit programme",NA,1881
"224","GRC","Greece",350,"Greece","unemployment benefit programme",1945,1881
"225","GTM","Guatemala",90,"Guatemala","severance payment but no unemployment benefit programme",NA,1881
"226","GUY","Guyana",110,"Guyana","severance payment but no unemployment benefit programme",NA,1881
"227","HND","Honduras",91,"Honduras","unemployment benefit programme",2015,1881
"228","HRV","Croatia",344,"Croatia","unemployment benefit programme",1935,1881
"229","HTI","Haiti",41,"Haiti","no umemployment insurance anchored in legislation",NA,1881
"230","HUN","Hungary",310,"Hungary","unemployment benefit programme",1957,1881
"231","IDN","Indonesia",850,"Indonesia","severance payment but no unemployment benefit programme",NA,1881
"232","IND","India",750,"India","unemployment benefit programme",2005,1881
"233","IRL","Ireland",205,"Ireland","unemployment benefit programme",1922,1881
"234","IRN","Iran",630,"Iran","unemployment benefit programme",1987,1881
"235","IRQ","Iraq",645,"Iraq","severance payment but no unemployment benefit programme",NA,1881
"236","ISR","Israel",666,"Israel","unemployment benefit programme",1972,1881
"237","ITA","Italy",325,"Italy","unemployment benefit programme",1919,1881
"238","JAM","Jamaica",51,"Jamaica","no umemployment insurance anchored in legislation",NA,1881
"239","JOR","Jordan",663,"Jordan","unemployment benefit programme",2010,1881
"240","JPN","Japan",740,"Japan","unemployment benefit programme",1947,1881
"241","KAZ","Kazakhstan",705,"Kazakhstan","unemployment benefit programme",2003,1881
"242","KEN","Kenya",501,"Kenya","no umemployment insurance anchored in legislation",NA,1881
"243","KGZ","Kyrgyzstan",703,"Kyrgyz Republic","unemployment benefit programme",1998,1881
"244","KHM","Cambodia",811,"Cambodia","severance payment but no unemployment benefit programme",NA,1881
"245","KOR","South Korea",732,"South Korea","unemployment benefit programme",1993,1881
"246","KWT","Kuwait",690,"Kuwait","unemployment benefit programme",2013,1881
"247","LAO","Laos",812,"Laos","unemployment benefit programme",2013,1881
"248","LBN","Lebanon",660,"Lebanon","no umemployment insurance anchored in legislation",NA,1881
"249","LBR","Liberia",450,"Liberia","no umemployment insurance anchored in legislation",NA,1881
"250","LBY","Libya",620,"Libya","severance payment but no unemployment benefit programme",NA,1881
"251","LKA","Sri Lanka",780,"Sri Lanka","severance payment but no unemployment benefit programme",NA,1881
"252","LSO","Lesotho",570,"Lesotho","severance payment but no unemployment benefit programme",NA,1881
"253","LTU","Lithuania",368,"Lithuania","unemployment benefit programme",1990,1881
"254","LUX","Luxembourg",212,"Luxembourg","unemployment benefit programme",1920,1881
"255","LVA","Latvia",367,"Latvia","unemployment benefit programme",1991,1881
"256","MAR","Morocco",600,"Morocco","unemployment benefit programme",2014,1881
"257","MDA","Moldova",359,"Moldova","unemployment benefit programme",1992,1881
"258","MDG","Madagascar",580,"Madagascar","no umemployment insurance anchored in legislation",NA,1881
"259","MEX","Mexico",70,"Mexico","severance payment but no unemployment benefit programme",NA,1881
"260","MKD",NA,NA,NA,NA,NA,1881
"261","MLI","Mali",432,"Mali","severance payment but no unemployment benefit programme",NA,1881
"262","MMR","Myanmar",775,"Myanmar","unemployment benefit programme",2012,1881
"263","MNE",NA,NA,NA,NA,NA,1881
"264","MNG","Mongolia",712,"Mongolia","unemployment benefit programme",1994,1881
"265","MOZ","Mozambique",541,"Mozambique","no umemployment insurance anchored in legislation",NA,1881
"266","MRT","Mauritania",435,"Mauritania","no umemployment insurance anchored in legislation",NA,1881
"267","MUS","Mauritius",590,"Mauritius","unemployment benefit programme",1983,1881
"268","MWI","Malawi",553,"Malawi","severance payment but no unemployment benefit programme",NA,1881
"269","MYS","Malaysia",820,"Malaysia","severance payment but no unemployment benefit programme",NA,1881
"270","NAM","Namibia",565,"Namibia","severance payment but no unemployment benefit programme",NA,1881
"271","NER","Niger",436,"Niger","no umemployment insurance anchored in legislation",NA,1881
"272","NGA","Nigeria",475,"Nigeria","unemployment benefit programme",1961,1881
"273","NIC","Nicaragua",93,"Nicaragua","no umemployment insurance anchored in legislation",NA,1881
"274","NLD","Netherlands",210,"Netherlands","unemployment benefit programme",1916,1881
"275","NOR","Norway",385,"Norway","unemployment benefit programme",1906,1881
"276","NPL","Nepal",790,"Nepal","severance payment but no unemployment benefit programme",NA,1881
"277","NZL","New Zealand",920,"New Zealand","unemployment benefit programme",1938,1881
"278","OMN","Oman",698,"Oman","no umemployment insurance anchored in legislation",NA,1881
"279","PAK","Pakistan",770,"Pakistan","severance payment but no unemployment benefit programme",NA,1881
"280","PAN","Panama",95,"Panama","severance payment but no unemployment benefit programme",NA,1881
"281","PER","Peru",135,"Peru","severance payment but no unemployment benefit programme",NA,1881
"282","PHL","Philippines",840,"Philippines","severance payment but no unemployment benefit programme",NA,1881
"283","PNG","Papua New Guinea",910,"Papua New Guinea","no umemployment insurance anchored in legislation",NA,1881
"284","POL","Poland",290,"Poland","unemployment benefit programme",1924,1881
"285","PRK",NA,NA,NA,NA,NA,1881
"286","PRT","Portugal",235,"Portugal","unemployment benefit programme",1975,1881
"287","PRY","Paraguay",150,"Paraguay","no umemployment insurance anchored in legislation",NA,1881
"288","QAT","Qatar",694,"Qatar",NA,NA,1881
"289","ROU","Romania",360,"Romania","unemployment benefit programme",1991,1881
"290","RUS","Russia",365,"Russia","unemployment benefit programme",1917,1881
"291","RWA","Rwanda",517,"Rwanda","severance payment but no unemployment benefit programme",NA,1881
"292","SAU","Saudi Arabia",670,"Saudi Arabia","unemployment benefit programme",2014,1881
"293","SDN","Sudan",625,"Sudan","severance payment but no unemployment benefit programme",NA,1881
"294","SEN","Senegal",433,"Senegal","no umemployment insurance anchored in legislation",NA,1881
"295","SGP","Singapore",830,"Singapore","no umemployment insurance anchored in legislation",NA,1881
"296","SLB","Solomon Islands",940,"Solomon Islands","no umemployment insurance anchored in legislation",NA,1881
"297","SLE","Sierra Leone",451,"Sierra Leone","no umemployment insurance anchored in legislation",NA,1881
"298","SLV","El Salvador",92,"El Salvador","severance payment but no unemployment benefit programme",NA,1881
"299","SOM","Somalia",520,"Somalia","no umemployment insurance anchored in legislation",NA,1881
"300","SRB","Serbia",345,"Yugoslavia","unemployment benefit programme",1935,1881
"301","SSD",NA,NA,NA,NA,NA,1881
"302","SUR","Suriname",115,"Suriname","no umemployment insurance anchored in legislation",NA,1881
"303","SVK","Slovakia",317,"Slovak Republic","unemployment benefit programme",1921,1881
"304","SVN","Slovenia",349,"Slovenia","unemployment benefit programme",1935,1881
"305","SWE","Sweden",380,"Sweden","unemployment benefit programme",1934,1881
"306","SWZ","Swaziland",572,"Swaziland","no umemployment insurance anchored in legislation",NA,1881
"307","SYR","Syria",652,"Syria","severance payment but no unemployment benefit programme",NA,1881
"308","TCD","Chad",483,"Chad","severance payment but no unemployment benefit programme",NA,1881
"309","TGO","Togo",461,"Togo","no umemployment insurance anchored in legislation",NA,1881
"310","THA","Thailand",800,"Thailand","unemployment benefit programme",1990,1881
"311","TJK","Tajikistan",702,"Tajikistan","unemployment benefit programme",2003,1881
"312","TKM","Turkmenistan",701,"Turkmenistan","unemployment benefit programme",1991,1881
"313","TLS",NA,NA,NA,NA,NA,1881
"314","TTO","Trinidad and Tobago",52,"Trinidad and Tobago","severance payment but no unemployment benefit programme",NA,1881
"315","TUN","Tunisia",616,"Tunisia","unemployment benefit programme",1982,1881
"316","TUR","Turkey",640,"Turkey","unemployment benefit programme",1999,1881
"317","TZA","Tanzania",510,"Tanzania","severance payment but no unemployment benefit programme",NA,1881
"318","UGA","Uganda",500,"Uganda","severance payment but no unemployment benefit programme",NA,1881
"319","UKR","Ukraine",369,"Ukraine","unemployment benefit programme",2000,1881
"320","URY","Uruguay",165,"Uruguay","unemployment benefit programme",1981,1881
"321","USA","United States of America",2,"United States","unemployment benefit programme",1935,1881
"322","UZB","Uzbekistan",704,"Uzbekistan","unemployment benefit programme",1992,1881
"323","VEN","Venezuela",101,"Venezuela","unemployment benefit programme",1985,1881
"324","VNM","Vietnam",816,"Vietnam","unemployment benefit programme",2006,1881
"325","YEM","Yemen",679,"Yemen","severance payment but no unemployment benefit programme",NA,1881
"326","ZAF","South Africa",560,"South Africa","unemployment benefit programme",1937,1881
"327","ZMB","Zambia",551,"Zambia","severance payment but no unemployment benefit programme",NA,1881
"328","ZWE","Zimbabwe",552,"Zimbabwe","no umemployment insurance anchored in legislation",NA,1881
"329","AFG","Afghanistan",700,"Afghanistan","no umemployment insurance anchored in legislation",NA,1882
"330","AGO","Angola",540,"Angola","severance payment but no unemployment benefit programme",NA,1882
"331","ALB","Albania",339,"Albania","no umemployment insurance anchored in legislation",NA,1882
"332","ARE",NA,NA,NA,NA,NA,1882
"333","ARG","Argentina",160,"Argentina","unemployment benefit programme",1991,1882
"334","ARM","Armenia",371,"Armenia","severance payment but no unemployment benefit programme",NA,1882
"335","AUS","Australia",900,"Australia","unemployment benefit programme",1944,1882
"336","AUT","Austria",305,"Austria","unemployment benefit programme",1920,1882
"337","AZE","Azerbaijan",373,"Azerbaijan","unemployment benefit programme",2001,1882
"338","BDI","Burundi",516,"Burundi","no umemployment insurance anchored in legislation",NA,1882
"339","BEL","Belgium",211,"Belgium","unemployment benefit programme",1920,1882
"340","BEN","Benin",434,"Benin","no umemployment insurance anchored in legislation",NA,1882
"341","BFA","Burkina Faso",439,"Burkina Faso","no umemployment insurance anchored in legislation",NA,1882
"342","BGD","Bangladesh",771,"Bangladesh","severance payment but no unemployment benefit programme",NA,1882
"343","BGR","Bulgaria",355,"Bulgaria","unemployment benefit programme",1925,1882
"344","BHR","Bahrain",692,"Bahrain","unemployment benefit programme",2006,1882
"345","BIH",NA,NA,NA,NA,NA,1882
"346","BLR","Belarus",370,"Belarus","unemployment benefit programme",2006,1882
"347","BOL","Bolivia",145,"Bolivia","severance payment but no unemployment benefit programme",NA,1882
"348","BRA","Brazil",140,"Brazil","unemployment benefit programme",1986,1882
"349","BTN","Bhutan",760,"Bhutan","no umemployment insurance anchored in legislation",NA,1882
"350","BWA","Botswana",571,"Botswana","severance payment but no unemployment benefit programme",NA,1882
"351","CAF","Central African Republic",482,"Central African Republic","no umemployment insurance anchored in legislation",NA,1882
"352","CAN","Canada",20,"Canada","unemployment benefit programme",1940,1882
"353","CHE","Switzerland",225,"Switzerland","unemployment benefit programme",1924,1882
"354","CHL","Chile",155,"Chile","unemployment benefit programme",2001,1882
